,id,created_at,edit_history_tweet_ids,text
0,1.5647529667117548e+18,2022-08-30 23:12:33+00:00,['1564752966711754754'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
1,1.563526365596373e+18,2022-08-27 13:58:29+00:00,['1563526365596372996'],one person unfollowed me // automatically checked by https://t.co/C4nsvdzEjn
2,1.561992878464897e+18,2022-08-23 08:24:57+00:00,['1561992878464897025'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
3,1.5609441005343744e+18,2022-08-20 10:57:29+00:00,['1560944100534374400'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
4,1.5576995825361633e+18,2022-08-11 12:04:55+00:00,['1557699582536163329'],one person unfollowed me // automatically checked by https://t.co/C4nsvdRfHX
5,1.5566006703037071e+18,2022-08-08 11:18:14+00:00,['1556600670303707137'],one person unfollowed me // automatically checked by https://t.co/C4nsvdRfHX
6,1.5543933378509046e+18,2022-08-02 09:07:05+00:00,['1554393337850904577'],one person unfollowed me // automatically checked by https://t.co/C4nsvdRfHX
7,1.553005893339472e+18,2022-07-29 13:13:53+00:00,['1553005893339471875'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
8,1.551551441881514e+18,2022-07-25 12:54:24+00:00,['1551551441881513985'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
9,1.5468973778979717e+18,2022-07-12 16:40:49+00:00,['1546897377897971716'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
10,1.5455529973751644e+18,2022-07-08 23:38:44+00:00,['1545552997375164416'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
11,1.5410859964643574e+18,2022-06-26 15:48:28+00:00,['1541085996464357378'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
12,1.5382404544535183e+18,2022-06-18 19:21:18+00:00,['1538240454453518336'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
13,1.5371248726603407e+18,2022-06-15 17:28:22+00:00,['1537124872660340739'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
14,1.53492525620437e+18,2022-06-09 15:47:53+00:00,['1534925256204369920'],2 people unfollowed me // automatically checked by https://t.co/C4nsvdRfHX
15,1.533819742351417e+18,2022-06-06 14:34:58+00:00,['1533819742351417346'],one person unfollowed me // automatically checked by https://t.co/C4nsvdRfHX
16,1.5295618802635244e+18,2022-05-25 20:35:44+00:00,['1529561880263524353'],one person unfollowed me // automatically checked by https://t.co/C4nsvdRfHX
17,1.5263059412341473e+18,2022-05-16 20:57:48+00:00,['1526305941234147328'],one person unfollowed me // automatically checked by https://t.co/C4nsvdzEjn
18,1.517607744584532e+18,2022-04-22 20:54:16+00:00,['1517607744584531969'],one person unfollowed me // automatically checked by https://t.co/C4nsvdRfHX
19,1.5142712381385687e+18,2022-04-13 15:56:11+00:00,['1514271238138568716'],one person unfollowed me // automatically checked by https://t.co/C4nsvdRfHX
20,1.508845600426582e+18,2022-03-29 16:36:38+00:00,['1508845600426582022'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
21,1.5066334974185554e+18,2022-03-23 14:06:32+00:00,['1506633497418555396'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
22,1.5045067300420403e+18,2022-03-17 17:15:31+00:00,['1504506730042040334'],2 people unfollowed me // automatically checked by https://t.co/C4nsvdRfHX
23,1.503456301799592e+18,2022-03-14 19:41:29+00:00,['1503456301799591945'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
24,1.5024622041882378e+18,2022-03-12 01:51:18+00:00,['1502462204188237831'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
25,1.4936897165118546e+18,2022-02-15 20:52:34+00:00,['1493689716511854610'],one person followed me and 2 people unfollowed me // automatically checked by https://t.co/C4nsvdRfHX
26,1.4915135223999816e+18,2022-02-09 20:45:09+00:00,['1491513522399981571'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
27,1.488230917202223e+18,2022-01-31 19:21:15+00:00,['1488230917202223108'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
28,1.4850201806527324e+18,2022-01-22 22:42:56+00:00,['1485020180652732420'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
29,1.482871858617856e+18,2022-01-17 00:26:16+00:00,['1482871858617856002'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
30,1.4784403243515945e+18,2022-01-04 18:56:56+00:00,['1478440324351594497'],one person followed me // automatically checked by https://t.co/C4nsvdRfHX
