,Unnamed: 0,id,created_at,edit_history_tweet_ids,text
0,0,1.3675513743225242e+18,2021-03-04 19:03:50+00:00,['1367551374322524166'],@SpeakingSatan Well it’s appeared up@here they are surge testing fir it on Teesside.
1,1,1.3672268822200443e+18,2021-03-03 21:34:25+00:00,['1367226882220044291'],
2,2,1.3672266989960763e+18,2021-03-03 21:33:41+00:00,['1367226698996076546'],
3,3,1.367226378073092e+18,2021-03-03 21:32:25+00:00,['1367226378073092096'],
4,4,1.3672262397575373e+18,2021-03-03 21:31:52+00:00,['1367226239757537288'],@BillyVacant 😘😘🤣
5,5,1.3671951394127872e+18,2021-03-03 19:28:17+00:00,['1367195139412787202'],@BillyVacant Me too with gonzo as chancellor 🥰🥰
6,6,1.3671908410059858e+18,2021-03-03 19:11:12+00:00,['1367190841005985795'],@BillyVacant I was going to say similar - Kermit the frog would be a better leader.
7,7,1.367190681312252e+18,2021-03-03 19:10:34+00:00,['1367190681312251906'],
8,8,1.3671852446008607e+18,2021-03-03 18:48:58+00:00,['1367185244600860681'],
9,9,1.3671839552088474e+18,2021-03-03 18:43:50+00:00,['1367183955208847367'],@RussInCheshire Wow - that is a very brave thing to write about - I applaud you. It’s also rare to read a warts and all type of story but it needs telling so people know.
10,10,1.3671824441102295e+18,2021-03-03 18:37:50+00:00,['1367182444110229506'],@BillyVacant As much as I’m not a fan of Starmer I will be voting Labour in our red wall constituency. I would vote for anyone to get the absolute scum that is our useless Tory MP out of office.
11,11,1.3670983368226447e+18,2021-03-03 13:03:37+00:00,['1367098336822644738'],@lhgmk2 🤣🤣🤣🤣🤣
12,12,1.3670982068872315e+18,2021-03-03 13:03:06+00:00,['1367098206887231493'],@LindaChibuzor @chris_dlamini @ClaireHowells10 @Cathy_55555 @MarshaLTJones @FiRodgers1 @NorthwayRuth @RuthOshikanlu @AngelEy02283417 @DebbyHylton @mrsbiffo01 @ciarale01 @stevechaplain1 @Maggiew56700896 @HelenAshby72 @Karen_Manton @MaryReidy11 @ISAACDA52636008 @clemserrell That’s a lovely sentiment - thank you and I’ll try to bear it in mind 😘
13,13,1.367097940095943e+18,2021-03-03 13:02:03+00:00,['1367097940095942660'],Huge congratulations and well done for standing up for all of us. https://t.co/rTLpbM3DnR
14,14,1.3670976407275684e+18,2021-03-03 13:00:51+00:00,['1367097640727568384'],
15,15,1.367097597429703e+18,2021-03-03 13:00:41+00:00,['1367097597429702658'],
16,16,1.3670929665112392e+18,2021-03-03 12:42:17+00:00,['1367092966511239168'],@GJSSONGWRITER @JujuliaGrace @CarolineLucas @YvetteCooperMP @NicolaSturgeon @zarahsultana Agreed
17,17,1.3670926888777196e+18,2021-03-03 12:41:11+00:00,['1367092688877719555'],
18,18,1.3670673135188214e+18,2021-03-03 11:00:21+00:00,['1367067313518821377'],
19,19,1.3670672348756705e+18,2021-03-03 11:00:02+00:00,['1367067234875670529'],@janet_battersby Oh my god - that’s tough. You have my best wishes my dear. Enjoy what you can while you can and I hope you get your wish #backto60
20,20,1.3670669105427333e+18,2021-03-03 10:58:45+00:00,['1367066910542733313'],@mhdksafa Yes
21,21,1.367066816120582e+18,2021-03-03 10:58:22+00:00,['1367066816120582152'],
22,22,1.36706668965385e+18,2021-03-03 10:57:52+00:00,['1367066689653850113'],@tm_west @JujuliaGrace @lizmayessex It might indeed be but it also might be rewarding and life affirming. I don’t regret one day of my 30 years as a nurse.
23,23,1.3670660980221583e+18,2021-03-03 10:55:31+00:00,['1367066098022158337'],
24,24,1.3670657441445317e+18,2021-03-03 10:54:06+00:00,['1367065744144531461'],@demelo64 @shopperbarbie48 Will do.
25,25,1.3670209727049933e+18,2021-03-03 07:56:12+00:00,['1367020972704993281'],
26,26,1.3670206843382252e+18,2021-03-03 07:55:03+00:00,['1367020684338225152'],
27,27,1.3670188803554673e+18,2021-03-03 07:47:53+00:00,['1367018880355467265'],
28,28,1.367018782296834e+18,2021-03-03 07:47:30+00:00,['1367018782296834049'],
29,29,1.3670187747261153e+18,2021-03-03 07:47:28+00:00,['1367018774726115328'],
30,30,1.3670182211199345e+18,2021-03-03 07:45:16+00:00,['1367018221119934467'],
31,31,1.3670180930301092e+18,2021-03-03 07:44:46+00:00,['1367018093030109187'],
32,32,1.3670180216430346e+18,2021-03-03 07:44:28+00:00,['1367018021643034624'],
33,33,1.367017899240657e+18,2021-03-03 07:43:59+00:00,['1367017899240656898'],@shopperbarbie48 Too hard - depending on my age I’ve had different one. I remember being absorbed by Love Story (book not film) as a teenager. Most recent fave - The Midnight Library by Matt Haig.
34,34,1.3670175582227702e+18,2021-03-03 07:42:38+00:00,['1367017558222770176'],@demelo64 @shopperbarbie48 Just read the reviews so getting this one - thanks.
35,35,1.3668606669052518e+18,2021-03-02 21:19:12+00:00,['1366860666905251842'],
36,36,1.3667309652388946e+18,2021-03-02 12:43:49+00:00,['1366730965238894600'],
37,37,1.3666490100318904e+18,2021-03-02 07:18:09+00:00,['1366649010031890432'],
38,38,1.3666489581944873e+18,2021-03-02 07:17:57+00:00,['1366648958194487297'],@slaveto5cats Good morning - back at ya !
39,39,1.3666488448224666e+18,2021-03-02 07:17:30+00:00,['1366648844822466562'],@HelenAshby72 No - I would say that’s an accurate sssessment unfortunately 😡
40,40,1.366453737892569e+18,2021-03-01 18:22:13+00:00,['1366453737892569089'],@katie_jr Constantly.
41,41,1.36644010890018e+18,2021-03-01 17:28:03+00:00,['1366440108900179971'],
42,42,1.3664399545749545e+18,2021-03-01 17:27:27+00:00,['1366439954574954498'],@wrenasaurus @senilesid Brilliant - must try that 🤣🤣🤣
43,43,1.3664250328267162e+18,2021-03-01 16:28:09+00:00,['1366425032826716168'],
44,44,1.3664248933325947e+18,2021-03-01 16:27:36+00:00,['1366424893332594699'],@Cated73 I know - maybe some of them should grow up a bit.
45,45,1.366370039180501e+18,2021-03-01 12:49:37+00:00,['1366370039180500993'],@Schadenfury One of my favourites on Twitter - I look forward to your posts and love the hamster pics. Don’t let anyone dull your sparkle 😍
46,46,1.3663616094221883e+18,2021-03-01 12:16:08+00:00,['1366361609422188544'],@2Tone4Real Bozone - must be what surrounds a certain PM at the moment 🤣
47,47,1.3663611008418734e+18,2021-03-01 12:14:06+00:00,['1366361100841873415'],
48,48,1.3663610446716846e+18,2021-03-01 12:13:53+00:00,['1366361044671684611'],@zingonathome Sons just coming out - washing on the line in the optimistic north east 🤣🤣
49,49,1.3663608978332877e+18,2021-03-01 12:13:18+00:00,['1366360897833287683'],@alan_shaefer Reputation management - new way of saying “gaslight” or “spin” ffs
50,50,1.366360729457197e+18,2021-03-01 12:12:38+00:00,['1366360729457197057'],Hear hear. https://t.co/OsNq0om58k
51,51,1.3663602952209285e+18,2021-03-01 12:10:54+00:00,['1366360295220928515'],@ChewyBB A bit like Farage - will choose whichever horse suits his interests. Spineless 🤬
52,52,1.36635992471706e+18,2021-03-01 12:09:26+00:00,['1366359924717060098'],@LilThelady @cnnbrk @paysupplystaff @MattHancock @UKLabour Absolutely but it’s about priorities.
53,53,1.3663400153961103e+18,2021-03-01 10:50:19+00:00,['1366340015396110337'],
54,54,1.3663394604184617e+18,2021-03-01 10:48:07+00:00,['1366339460418461696'],
55,55,1.3663394225102766e+18,2021-03-01 10:47:58+00:00,['1366339422510276611'],
56,56,1.3663392945043538e+18,2021-03-01 10:47:27+00:00,['1366339294504353794'],
57,57,1.3663392459049124e+18,2021-03-01 10:47:16+00:00,['1366339245904912393'],@Danwhite1972 @wrenasaurus It’s a bugger that black dog. Had a flirtation with it myself. Look after yourself and know there are people who have your back lovely
58,58,1.3663389191350682e+18,2021-03-01 10:45:58+00:00,['1366338919135068160'],@RoyalMailHelp - another phishing text received today https://t.co/kvaz3EJ4Ki
59,59,1.3663385790567793e+18,2021-03-01 10:44:37+00:00,['1366338579056779264'],
60,60,1.3663384397261988e+18,2021-03-01 10:44:04+00:00,['1366338439726198785'],@TeeJayney Emergency tin of tuna ??
61,61,1.3663365829203397e+18,2021-03-01 10:36:41+00:00,['1366336582920339464'],So according to @cnnbrk teachers in lots of American states are eligible for vaccination. So @paysupplystaff @MattHancock @UKLabour what is different in this country?!
62,62,1.3663261803921695e+18,2021-03-01 09:55:21+00:00,['1366326180392169472'],
63,63,1.3663103611510047e+18,2021-03-01 08:52:29+00:00,['1366310361151004674'],@RedWoman1552 @ChiaroscuroF19 Well your act of kindness will be replayed I hope. 😘
64,64,1.366309335576494e+18,2021-03-01 08:48:25+00:00,['1366309335576494081'],
65,65,1.3663090668516805e+18,2021-03-01 08:47:20+00:00,['1366309066851680256'],
66,66,1.3663087293150167e+18,2021-03-01 08:46:00+00:00,['1366308729315016704'],
67,67,1.366308439778087e+18,2021-03-01 08:44:51+00:00,['1366308439778086913'],
68,68,1.3663076666880983e+18,2021-03-01 08:41:47+00:00,['1366307666688098313'],
69,69,1.3663056735465267e+18,2021-03-01 08:33:51+00:00,['1366305673546526720'],
70,70,1.3663056234161807e+18,2021-03-01 08:33:40+00:00,['1366305623416180739'],
71,71,1.3663044804641423e+18,2021-03-01 08:29:07+00:00,['1366304480464142336'],
72,72,1.366304422796669e+18,2021-03-01 08:28:53+00:00,['1366304422796668934'],
73,73,1.3662964065799373e+18,2021-03-01 07:57:02+00:00,['1366296406579937281'],@FV77466166 @JenJoeGibson @Schadenfury Me too 🤣🤣🤣🤣🤣🤣🤣🤣
74,74,1.3662895195118223e+18,2021-03-01 07:29:40+00:00,['1366289519511822338'],
75,75,1.3662890653819208e+18,2021-03-01 07:27:52+00:00,['1366289065381920771'],
76,76,1.366288520416006e+18,2021-03-01 07:25:42+00:00,['1366288520416006144'],@hughesgolfer It’s about keeping on keeping on and saying fuck it to the rest. Happy birthday 🥳
77,77,1.366288380938625e+18,2021-03-01 07:25:09+00:00,['1366288380938625030'],
78,78,1.36628833840418e+18,2021-03-01 07:24:58+00:00,['1366288338404179972'],
79,79,1.3662877916178924e+18,2021-03-01 07:22:48+00:00,['1366287791617892355'],
80,80,1.3662848314207846e+18,2021-03-01 07:11:02+00:00,['1366284831420784641'],"@skypanda476 @DSAMontenegro Thank you - needed this this morning. Went for a run yesterday and fell , hurting my arm. Felt everyone of my 62 years but now I’m just going to Chuck it in the fuck it bucket and keep on keeping on. Trainers will be back on. 🥰🥰🥰"
81,81,1.3662811347919176e+18,2021-03-01 06:56:21+00:00,['1366281134791917568'],
82,82,1.3662806573039206e+18,2021-03-01 06:54:27+00:00,['1366280657303920642'],
83,83,1.3662798717737574e+18,2021-03-01 06:51:20+00:00,['1366279871773757441'],@debsinamillion @UKActionteam @IsfreeJane Thanks - due to have 2nd next week. Heard there’s a trial to see if this is true so might volunteer.
84,84,1.3660882912888136e+18,2021-02-28 18:10:03+00:00,['1366088291288813575'],@Lidlbigthings I@ with you on that. This week has been particularly toxic so I’m going to have a break. Need funny stuff not nasty.
85,85,1.3660174192239163e+18,2021-02-28 13:28:26+00:00,['1366017419223916546'],@gnasher279 @FishGirls23 Oh I love this🤣
86,86,1.3660124483780772e+18,2021-02-28 13:08:41+00:00,['1366012448378077191'],
87,87,1.3660121463210967e+18,2021-02-28 13:07:29+00:00,['1366012146321096704'],@Beemerkopf It’s supposed to be more of a “reaction” if you’ve had covid as already have anti bodies which the vaccine wakes up. I felt awful about 12 hours later but it only lasted about 12 hours.
88,88,1.3660108643069583e+18,2021-02-28 13:02:23+00:00,['1366010864306958336'],
89,89,1.366010647838937e+18,2021-02-28 13:01:32+00:00,['1366010647838937089'],
90,90,1.3660102189168271e+18,2021-02-28 12:59:50+00:00,['1366010218916827141'],@optimismworks00 @DmodosCutter Mine is a teacher !
91,91,1.366006789167276e+18,2021-02-28 12:46:12+00:00,['1366006789167276037'],@debsinamillion @UKActionteam @IsfreeJane Next vaccine on 10th March so 8 weeks if they don’t delay but as I’ve had the dreaded covid I’m not worried. I count my infection as 1st dose
92,92,1.365954675758035e+18,2021-02-28 09:19:07+00:00,['1365954675758034948'],@stimmo Had to think about that one fir a second 🤣🤣🤣🤣
93,93,1.3659545802327572e+18,2021-02-28 09:18:44+00:00,['1365954580232757248'],
94,94,1.365954281564758e+18,2021-02-28 09:17:33+00:00,['1365954281564758017'],@utb_smith Some people have nowt else to worry about 😜
95,95,1.365954098344919e+18,2021-02-28 09:16:49+00:00,['1365954098344919040'],
96,96,1.3659519698698568e+18,2021-02-28 09:08:22+00:00,['1365951969869856774'],
97,97,1.365951580391035e+18,2021-02-28 09:06:49+00:00,['1365951580391034880'],
98,98,1.365951489613652e+18,2021-02-28 09:06:27+00:00,['1365951489613651972'],
99,99,1.3659513730371666e+18,2021-02-28 09:06:00+00:00,['1365951373037166593'],
100,100,1.3659512470109553e+18,2021-02-28 09:05:30+00:00,['1365951247010955264'],@cactus_woman True - but some people just don’t know what to say and they think this helps.
101,101,1.3659436921257615e+18,2021-02-28 08:35:28+00:00,['1365943692125761537'],@TeeJayney Me too - gonna steal this so others are aware 🤣
102,102,1.3659430282890445e+18,2021-02-28 08:32:50+00:00,['1365943028289044482'],"@UKActionteam @IsfreeJane I have to say I feel totally exhausted by it all. Sick of hearing parents saying they are glad schools are opening. And these are colleagues!!!! I just feel like saying -fuck it, I’m vaccinated so just get on with it but my daughter is a teacher 😢"
103,103,1.365942138626855e+18,2021-02-28 08:29:18+00:00,['1365942138626854914'],@HelenAshby72 That’s probably true but maybe not as blatant. My worry is that actually it’s going to be us paying fir all this as taxpayers.
104,104,1.3659415968485868e+18,2021-02-28 08:27:09+00:00,['1365941596848586755'],@HelenAshby72 Well I’ve just seen that a Tory donor got the contract for the “free” laptops. 🤬🤬🙄🙄
105,105,1.365940911105069e+18,2021-02-28 08:24:25+00:00,['1365940911105069057'],@GreatAunty1 Ditto
106,106,1.365940812706644e+18,2021-02-28 08:24:02+00:00,['1365940812706643969'],@HelenAshby72 Some Tory donor will have that contract. And of course it puts the responsibility on us 🤬 so when it all goes wrong in 4 weeks time the public will be to blame 🤬🤬🤬🤬
107,107,1.3659405235681034e+18,2021-02-28 08:22:53+00:00,['1365940523568103427'],
108,108,1.3657882422982287e+18,2021-02-27 22:17:46+00:00,['1365788242298228743'],@Juliest101 Me too.
109,109,1.3657620123792955e+18,2021-02-27 20:33:33+00:00,['1365762012379295744'],@alan_shaefer @stimmo Aaaww -😢
110,110,1.365751991620817e+18,2021-02-27 19:53:43+00:00,['1365751991620816896'],@alan_shaefer @stimmo You will cry at Soul then 😢
111,111,1.3656554337053573e+18,2021-02-27 13:30:02+00:00,['1365655433705357322'],
112,112,1.365655330659664e+18,2021-02-27 13:29:38+00:00,['1365655330659663874'],
113,113,1.3656551411023462e+18,2021-02-27 13:28:52+00:00,['1365655141102346245'],
114,114,1.365654955969966e+18,2021-02-27 13:28:08+00:00,['1365654955969966084'],
115,115,1.3656548282827653e+18,2021-02-27 13:27:38+00:00,['1365654828282765316'],
116,116,1.3656547109134828e+18,2021-02-27 13:27:10+00:00,['1365654710913482753'],
117,117,1.3656544785993728e+18,2021-02-27 13:26:14+00:00,['1365654478599372806'],
118,118,1.3656543590827336e+18,2021-02-27 13:25:46+00:00,['1365654359082733573'],@Mapolino Republicans or Tories ? I suppose they are both the same really whichever side of the pond 🤔
119,119,1.3656169958032794e+18,2021-02-27 10:57:18+00:00,['1365616995803279360'],
120,120,1.3656168706955756e+18,2021-02-27 10:56:48+00:00,['1365616870695575553'],🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬😱 https://t.co/jLSPJVq7Fl
121,121,1.365616665589936e+18,2021-02-27 10:55:59+00:00,['1365616665589936129'],
122,122,1.3656166282606223e+18,2021-02-27 10:55:50+00:00,['1365616628260622336'],
123,123,1.3656164528757473e+18,2021-02-27 10:55:08+00:00,['1365616452875747328'],
124,124,1.365616384206586e+18,2021-02-27 10:54:52+00:00,['1365616384206585856'],
125,125,1.3656162567123968e+18,2021-02-27 10:54:22+00:00,['1365616256712396802'],@MaidenSarah2 @CarmarthenMark Big girls blouse - except a girls blouse probably has more substance 🤔
126,126,1.3656159609509806e+18,2021-02-27 10:53:11+00:00,['1365615960950980614'],Hands up anybody who wasn’t expecting this ???? https://t.co/ClWVA8RXKD
127,127,1.365615823277146e+18,2021-02-27 10:52:38+00:00,['1365615823277146112'],@Samclar47341654 Me to - I was 62 years old when that bubble was broken 🤣
128,128,1.3656156695098368e+18,2021-02-27 10:52:02+00:00,['1365615669509836801'],
129,129,1.36561533746355e+18,2021-02-27 10:50:43+00:00,['1365615337463549961'],
130,130,1.3656048105951232e+18,2021-02-27 10:08:53+00:00,['1365604810595123201'],@Mapolino @Loo_Goo_Two It’s an age thing. I was taught two spaces in typing class but that was when typewriters existed 🤣🤣🤣
131,131,1.3655624164536074e+18,2021-02-27 07:20:25+00:00,['1365562416453607426'],
132,132,1.3655623410358313e+18,2021-02-27 07:20:07+00:00,['1365562341035831296'],@SimonPease1 Yup
133,133,1.3655621650972836e+18,2021-02-27 07:19:25+00:00,['1365562165097283584'],Absolutely 👏🏻👏🏻👏🏻👏🏻 https://t.co/b2zxlR2EWn
134,134,1.365561978052305e+18,2021-02-27 07:18:41+00:00,['1365561978052304900'],
135,135,1.3655617819476623e+18,2021-02-27 07:17:54+00:00,['1365561781947662340'],@other_mrs Ooh get you and your bestie - mr marcois🤣🤣🤣🤣
136,136,1.3653522801832346e+18,2021-02-26 17:25:25+00:00,['1365352280183234560'],Please cover this on @Channel4News then https://t.co/eIFNbej1Io
137,137,1.3653519600361925e+18,2021-02-26 17:24:08+00:00,['1365351960036192264'],
138,138,1.3652390796260188e+18,2021-02-26 09:55:36+00:00,['1365239079626018820'],
139,139,1.3652390404637573e+18,2021-02-26 09:55:26+00:00,['1365239040463757320'],
140,140,1.3652389533187525e+18,2021-02-26 09:55:06+00:00,['1365238953318752258'],
141,141,1.3652389153854874e+18,2021-02-26 09:54:56+00:00,['1365238915385487365'],@BillyVacant Totally agree - strange how he’s gone from “our hero prince” to a villain because of his love fir a strong independent mixed race woman 🤬🤬🤬
142,142,1.3652386130265006e+18,2021-02-26 09:53:44+00:00,['1365238613026500608'],
143,143,1.3652283121472102e+18,2021-02-26 09:12:48+00:00,['1365228312147210240'],
144,144,1.3652281089415782e+18,2021-02-26 09:12:00+00:00,['1365228108941578248'],@Mapolino A bit like a certain Mr Farage then 😜
145,145,1.365227903634522e+18,2021-02-26 09:11:11+00:00,['1365227903634522117'],@utb_smith Oh for fucks sake - as if this is really important 🤬🤬🤬
146,146,1.3652264592169615e+18,2021-02-26 09:05:27+00:00,['1365226459216961536'],@WilliamMartyn Exactly.
147,147,1.3652251247320146e+18,2021-02-26 09:00:09+00:00,['1365225124732014593'],@pongosapien @JolyonMaugham Yup - means he’s having an effect 🤣
148,148,1.3652248493549937e+18,2021-02-26 08:59:03+00:00,['1365224849354993665'],@virgosam70 Yup
149,149,1.365224798897455e+18,2021-02-26 08:58:51+00:00,['1365224798897455104'],@TheJessieKirk Me too
150,150,1.3652247247212462e+18,2021-02-26 08:58:33+00:00,['1365224724721246210'],
151,151,1.3652246751822807e+18,2021-02-26 08:58:21+00:00,['1365224675182280705'],
152,152,1.3652245975247995e+18,2021-02-26 08:58:03+00:00,['1365224597524799492'],
153,153,1.3652245358014054e+18,2021-02-26 08:57:48+00:00,['1365224535801405441'],
154,154,1.3652241184093798e+18,2021-02-26 08:56:09+00:00,['1365224118409379843'],@LcdViews Deluded !!!
155,155,1.3652240539933327e+18,2021-02-26 08:55:53+00:00,['1365224053993332742'],@WilliamMartyn I suspect you are correct but I also think this dead cat is convenient at the moment.
156,156,1.365223238217978e+18,2021-02-26 08:52:39+00:00,['1365223238217977856'],
157,157,1.365200912550101e+18,2021-02-26 07:23:56+00:00,['1365200912550100994'],
158,158,1.3652006461237617e+18,2021-02-26 07:22:52+00:00,['1365200646123761664'],
159,159,1.365200588489769e+18,2021-02-26 07:22:39+00:00,['1365200588489768968'],@dwiseman93 🤔🤔🤔🤔🤔🤔
160,160,1.365200466699821e+18,2021-02-26 07:22:10+00:00,['1365200466699821058'],
161,161,1.3652001920106783e+18,2021-02-26 07:21:04+00:00,['1365200192010678272'],
162,162,1.3652000381467525e+18,2021-02-26 07:20:27+00:00,['1365200038146752512'],
163,163,1.365051802601816e+18,2021-02-25 21:31:25+00:00,['1365051802601816068'],
164,164,1.365051199746175e+18,2021-02-25 21:29:02+00:00,['1365051199746174979'],
165,165,1.3650509275735327e+18,2021-02-25 21:27:57+00:00,['1365050927573532674'],@alan_shaefer 🤣🤣🤣🤣🤣🤣🤣
166,166,1.3650508071550484e+18,2021-02-25 21:27:28+00:00,['1365050807155048451'],@KindOfNorthern 🤣😘😘🤣🤣
167,167,1.36505075183224e+18,2021-02-25 21:27:15+00:00,['1365050751832240134'],
168,168,1.3650502566820864e+18,2021-02-25 21:25:17+00:00,['1365050256682086400'],
169,169,1.3650499471298683e+18,2021-02-25 21:24:03+00:00,['1365049947129868288'],@MyGineration @BBCNews Yes I wonder too - perhaps because they are a bunch of corrupt bastards too.
170,170,1.3650098292453704e+18,2021-02-25 18:44:38+00:00,['1365009829245370372'],
171,171,1.3650071557499412e+18,2021-02-25 18:34:01+00:00,['1365007155749941253'],@DrewLawDesign A colonoscopy
172,172,1.3650067671308698e+18,2021-02-25 18:32:28+00:00,['1365006767130869762'],
173,173,1.3650062988116214e+18,2021-02-25 18:30:36+00:00,['1365006298811621387'],
174,174,1.3649604588982927e+18,2021-02-25 15:28:27+00:00,['1364960458898292739'],
175,175,1.3649596009115402e+18,2021-02-25 15:25:03+00:00,['1364959600911540239'],@NurseC21 @JaneRemain I take antihistamines all year but since last year supplement with montelukast from now.
176,176,1.3649582517213266e+18,2021-02-25 15:19:41+00:00,['1364958251721326598'],@Shivajihimself @Sigbertganser @MissyClarke Agreed
177,177,1.3649579500082995e+18,2021-02-25 15:18:29+00:00,['1364957950008299527'],Signed https://t.co/LGtZkas6vh
178,178,1.3649578906798162e+18,2021-02-25 15:18:15+00:00,['1364957890679816197'],@SirBrianClough1 @IngramGlynis Signed
179,179,1.3649507513997883e+18,2021-02-25 14:49:53+00:00,['1364950751399788545'],
180,180,1.3649506675431424e+18,2021-02-25 14:49:33+00:00,['1364950667543142405'],@DrewLawDesign https://t.co/5lYTFqYRUt
181,181,1.364950357290455e+18,2021-02-25 14:48:19+00:00,['1364950357290455044'],
182,182,1.3649503250698117e+18,2021-02-25 14:48:11+00:00,['1364950325069811713'],@Jonathan_MBanks Optimistic but realistic at the same time.
183,183,1.3649500091547976e+18,2021-02-25 14:46:56+00:00,['1364950009154797568'],@JujuliaGrace @EveryDoctorUK Ooh intriguing - just don’t let them try to stop you - good luck
184,184,1.3649497877961933e+18,2021-02-25 14:46:03+00:00,['1364949787796193291'],@JohnWest_JAWS @MrsArcanum Or is it yet another distraction?  Seems to me there have been a few recently - must be something in the offing.
185,185,1.3649496154984284e+18,2021-02-25 14:45:22+00:00,['1364949615498428416'],
186,186,1.3649495089253253e+18,2021-02-25 14:44:57+00:00,['1364949508925325313'],
187,187,1.3649493504309658e+18,2021-02-25 14:44:19+00:00,['1364949350430965766'],Few of them about on here 🤣 https://t.co/59OUBNLyXq
188,188,1.364943869549437e+18,2021-02-25 14:22:32+00:00,['1364943869549436937'],
189,189,1.36494382072354e+18,2021-02-25 14:22:20+00:00,['1364943820723539973'],
190,190,1.3649437579138376e+18,2021-02-25 14:22:05+00:00,['1364943757913837574'],
191,191,1.3649437230465925e+18,2021-02-25 14:21:57+00:00,['1364943723046592513'],@snb19692 @ActionFbpe @The__Dame Leeds looking likely for me if I’m not at work 🤣
192,192,1.364943428992303e+18,2021-02-25 14:20:47+00:00,['1364943428992303114'],
193,193,1.3649431462500844e+18,2021-02-25 14:19:40+00:00,['1364943146250084356'],@swordfi88065110 @acgrayling And you are unbelievably  rude - so take your own advice and jog on. You are deliberately being argumentative for effect and joining in a battle of wit you are ill equipped for.
194,194,1.364917983269843e+18,2021-02-25 12:39:40+00:00,['1364917983269842947'],
195,195,1.364917746299986e+18,2021-02-25 12:38:44+00:00,['1364917746299985922'],@Cated73 @RosieisaHolt Exactly 🤣🤣🤣🤣. But if they were 😘😘😘😘
196,196,1.3649131114557235e+18,2021-02-25 12:20:19+00:00,['1364913111455723525'],
197,197,1.3649130350858117e+18,2021-02-25 12:20:01+00:00,['1364913035085811715'],
198,198,1.3649128050282004e+18,2021-02-25 12:19:06+00:00,['1364912805028200449'],@Cated73 @RosieisaHolt Story of my life 🤣
199,199,1.3649115072350904e+18,2021-02-25 12:13:56+00:00,['1364911507235090436'],
200,200,1.3649114534557204e+18,2021-02-25 12:13:43+00:00,['1364911453455720451'],
201,201,1.3649094877741793e+18,2021-02-25 12:05:55+00:00,['1364909487774179330'],@swordfi88065110 @acgrayling As for answering your question his tweet doesn’t mention SNP but nor does it mention other political parties/groups. So are you going to continue to throw your toys out of thepark  because you didn’t get an imaginary invitation?
202,202,1.3649091638942351e+18,2021-02-25 12:04:38+00:00,['1364909163894235137'],@swordfi88065110 @acgrayling Why are you intent on arguing about a perceived slight instead of joining a call for unity ? Your judicious uses of ! Seems to suggest  you don’t have what it takes to have an adult debate. I refuse to engage with someone who argues for the sake of it.
203,203,1.364906447855739e+18,2021-02-25 11:53:50+00:00,['1364906447855738883'],@MattCarr55 I agree but there are as many left wing bots  out there with an agenda - using any excuse to divide and conquer. REMEMBER THE TORIES ARE THE ENEMY!
204,204,1.3649061840970383e+18,2021-02-25 11:52:47+00:00,['1364906184097038338'],
205,205,1.364905641995821e+18,2021-02-25 11:50:38+00:00,['1364905641995821057'],@swordfi88065110 @acgrayling Your phrase ..”or just go away! “
206,206,1.3649054750793687e+18,2021-02-25 11:49:58+00:00,['1364905475079368708'],@swordfi88065110 @acgrayling It’s not what you asked but the way you responded !
207,207,1.3649024632545075e+18,2021-02-25 11:38:00+00:00,['1364902463254507524'],@nurse_marcus @TheBooksOfTime Pity it isn’t crushing him.
208,208,1.364900712711418e+18,2021-02-25 11:31:03+00:00,['1364900712711417856'],@swordfi88065110 @acgrayling I don’t need to and being rude continues to make his point about ego. If you don’t like what I say block me - I’m not going away because you don’t like being challenged
209,209,1.3648962853298831e+18,2021-02-25 11:13:27+00:00,['1364896285329883141'],@swordfi88065110 @acgrayling Not at all - stop trying to make political capital out of nothing. This is an imagined slight designed to undermine the message.
210,210,1.3648904311888527e+18,2021-02-25 10:50:11+00:00,['1364890431188852738'],He really doesn’t get the meaning of irony does he ? https://t.co/lIZIuZBdWP
211,211,1.364889754865664e+18,2021-02-25 10:47:30+00:00,['1364889754865664000'],
212,212,1.3648896938007757e+18,2021-02-25 10:47:16+00:00,['1364889693800775682'],@swordfi88065110 @acgrayling I think you have just illustrated the whole point he was making. Childishly asking if SNP aren’t included - they aren’t excluded unless they exclude themselves. It’s about joining together without ego !!!!
213,213,1.3648870833246945e+18,2021-02-25 10:36:53+00:00,['1364887083324694528'],@radishroot2002 Blue skies up north too 😜 https://t.co/eJLJhsA3OZ
214,214,1.364886810757722e+18,2021-02-25 10:35:48+00:00,['1364886810757722119'],
215,215,1.3648863939237233e+18,2021-02-25 10:34:09+00:00,['1364886393923723265'],@swordfi88065110 @acgrayling SNP Wasn’t excluded !
216,216,1.3648861105230395e+18,2021-02-25 10:33:01+00:00,['1364886110523039745'],@acgrayling Totally agree - stop this bickering and unite across party lines to remove this bunch of corrupt #toryliars otherwise this country will descend further.
217,217,1.3648848881014784e+18,2021-02-25 10:28:10+00:00,['1364884888101478401'],@WIFBLUB @utb_smith Yup that’s who sprang to@mind immediately.
218,218,1.3648668934384026e+18,2021-02-25 09:16:40+00:00,['1364866893438402562'],@cactus_woman @Sigbertganser Me too 🤣🤣🤣
